"ASVs","2014F-GULD04-100mL","2014F-GULD04-100mS","2014F-GULD04-1mS","2014F-GULD04-20mL","2014F-GULD04-20mS","2014F-GULD04-250mL","2014F-GULD04-250mS","2014S-GULD04-100mL","2014S-GULD04-100mS","2014S-GULD04-1mS","2014S-GULD04-20mL","2014S-GULD04-20mS","2014S-GULD04-250mL","2014S-GULD04-250mS","2016F-GULD4-100m-L","2016F-GULD4-100m-S","2016F-GULD4-1m-L","2016F-GULD4-1m-S","2016F-GULD4-20m-L","2016F-GULD4-20m-S","2016F-GULD4-250m-L","2016F-GULD4-250m-S","2016S-GULD3-1m-L","2016S-GULD3-1m-S","2016S-GULD3-20m-L","2016S-GULD3-20m-S","2016S-GULD3-40m-L","2016S-GULD3-40m-S","2016S-GULD3-80m-L","2016S-GULD3-80m-S","2017F-GULD04-1mL","2017F-GULD04-1mS","2017F-GULD04-20mL","2017F-GULD04-20mS","2017F-GULD04-250mL","2017F-GULD04-250mS","2017F-GULD04-60mL","2017F-GULD04-60mS","2017S-GULD04-1mL","2017S-GULD04-1mS","2017S-GULD04-20mL","2017S-GULD04-20mS","2017S-GULD04-250mL","2017S-GULD04-250mS","2017S-GULD04-60mL","2017S-GULD04-60mS","2018F-SG23-1mS","2018F-SG23-20mL","2018F-SG23-20mS","2018F-SG23-250mL","2018F-SG23-250mS","2018F-SG23-60mL","2018F-SG23-60mS","2018S-GULD04-250mL","2018S-GULD04-250mS","2018S-GULD04-60mL","2019S-GULD04-250mL","2019S-GULD04-250mS","2019S-GULD04-60mS"
"d998933b4422472bbf18af684c2a758b",0,0,0,0,0,0,0,54,0,0,0,20,32,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,74,0,0,73,0,0
"a5355f95f4f412f203d6898d260de6e5",0,65,0,0,0,8,22,0,240,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"6398885f973c8faeb748c37eb4bee830",0,0,0,0,0,37,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,64,0,0,0,0,0,0,16,0
"55b7cf6e0739c896c29f5559912973e3",0,0,0,0,0,0,0,11,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,57,0,0,0,0,0,0,18,0,23,0,0,0,0
"008299c055da4642d1db7ad121ff2ae2",14,26,0,0,0,24,0,0,0,21,0,9,0,0,28,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,61,0,0,0,0,0,0,20,0,0,0,31,0,0,60,0,0
"b512a8d17395a3bd3c8c285117a82f2a",0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,8,7,9,87,18,86,0,0,0,0,44,0,6,0,0,15,53,0,0,0,0,0,0
"5a0fc0789fea9ea8bd4cbdbc0e9e59d5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,158,0,0,0,0,0,0,0,0,0,0
"566fbcfa606a07a92ea324794974f403",0,11,0,0,0,0,0,23,137,0,0,0,44,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,0,62,0,0,0,0,0,0,0,0,0,0,16,28,0
"923cd88fa711878b032afe66fc7d70e3",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,151,7,43,0,0,0,0,0,0,0,6,0,0,0,0,105,0,24,0,0,0,0,0,0,0,0,0,0
"353f4376c1f6e6348c099e67cfd1b0cc",0,32,0,0,0,0,0,0,203,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,69,0,42,0,0,0,0
"e1b68b8ac09d1474ae92e43b84175b70",0,40,0,0,0,0,0,3,0,0,0,12,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,27,0,0,66,46,0,0,0,0,0,0,0,8,0,0,0,0,0,20,30,3,0,0,0,0,11
"9d1639c12292f10c995bb786ab24b6fd",0,0,0,0,0,306,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,3,0,0,0,0,0,0,0
"cbdf61709ee5eea622749ea2ab642356",0,56,0,0,0,0,0,0,0,130,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"2f59433327022d7a51c629a0a25e9220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fe96ffbbd99f536b42ea91782c4d1a70",0,0,110,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,10,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
"483726d83cd948ba55a1dbb7359dae2c",0,0,0,0,0,0,0,0,29,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,174,0,39,0,0,0,0,0,30,11,52,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"b9ff508a87de8224408a0e14e4cfdf22",20,31,0,0,0,129,0,0,0,0,0,47,0,0,0,0,0,0,29,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
"6ce145cb7dd3fad59d862c73b6d52044",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,50,0,0,0,0,0,0,29,0,0,0,0,0,0,74,0,0
"5608bf159e5733eeb795a379c7ceb25d",0,0,0,0,0,0,5,0,0,0,0,0,59,17,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,81,20,0,0,14,0,12,9,0,0,0,0,0,0,11,3,0
"e36d3e354dd58001ef8cbcaa0644b7c2",0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,81,0,100,0,0,0,0,0,0,0,0,0,0
"e9fc71e3d5fac256865f893e66578e49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,99,0,0,0,0,0,0,0,0,0,0
"105e3b06839f230ac10eb44e2bfccb5a",0,20,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,9,0,0,0,116,0,10,0,0,0,0
"fd374e9795a4d417734525b99f49b4d3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,194,0,0,0,0,0,0,0,0,0,0
"ea162d18a007a1b456f69cca79ccfdc4",0,0,0,0,0,0,0,0,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,30,0,0,0,0,0,0,5,0,0,0,3,0,0,255,0,23
"8d4e2549baaf8faba2260d13c1aa24d3",0,0,0,0,0,0,42,0,30,0,0,0,0,21,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,30,65,0,0,0,0,0,0,0,13,0,0,0,0,0,15,32,0,0,0,0,0,0,0,0
"26464c6dea2fc925c32f89012d422b15",0,0,0,0,0,0,0,0,94,139,0,59,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,0,36
"446e76b41be70e9bfb4fdfdc977abd9b",0,58,0,0,0,0,0,0,9,138,0,101,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"65303b52e07312dc4ad2069738883285",0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b4aa8c96504d62cc97a6f9f6f30747f2",0,21,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,27,0,0,0,0,55,50,105,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
"4eb00fe9dff1c0693d6710da8995283c",0,0,17,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,38,0,0,0,0,0,0,0,0,0,0
"be974caebd1c33c97f01f3bbc52e0844",0,0,0,0,0,0,35,0,73,0,0,44,0,14,0,39,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,36,0,0,0,0,12,0,0,0,0,0,0,0,61
"28ba0e9dc1ab04730f19985087d1a629",0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,188,0,0,0,0,0,0,0,0,0,0
"10111f763526686b1fbc7b4148d1fe7b",0,0,0,0,0,20,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0
"5a8c42a36f790a6323f4251fe06f8155",0,0,0,0,0,0,0,140,67,0,0,10,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,25,0,38,33,0,0,0,0,0,0,0,0,0,6,0,0,15
"762b5599f42bc06d8180cd4017d8de79",0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,169,0,23,0,0,0,0,0,0,0
"288e8b1f6b8fc15c10d0800e26beff82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,76,0,0,0,0,0,0,0,0,0,0
"5879997a11ad8418e32d4d40698ee072",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
"f60bd5b7301736caf7ded004f6870042",0,0,0,0,0,0,0,63,51,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"73e4a0566319eb68bd0cb6571e85d609",0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,81,0,0,0,0,0,48
"cbb825852ac7432dc0eb2329a51a16dd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,45,68,47,0,13,0,0,0,0,0,0,0
"9a8dea7af84b7a3b701649f2d7a91fd1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,175,0,0,0,0,0,0,0,0,0,0
"3df78584a415b2360a20e707a58a971b",0,0,0,0,0,0,0,47,40,0,0,0,43,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
"cb5bdc672fa9d408b4b792c989a06ff3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,108,0,13,0,0,0,0,17,0,0,0,49,0,0,66,0
"3b902d07898a579865fa74f2e5795709",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,86,0,167,0,0,0,0,0,0,0,0,0,0
"9ac70ae41fa5635f960f5dc3a552b553",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,169,0,0,0,0,0,0,0,0,0,0
"6d4a77bc146495ccc0483f7435903a26",0,0,0,0,0,0,0,0,0,52,18,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,26,0,0,17,0,0
"713cb4e2866af10204968b5a0facbd58",0,0,0,0,0,0,0,0,0,0,0,0,51,17,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,29,0,0,10,0,0,0,64,0,0,0,0,0,0,0,0,0
"20157d4f9c2861487a58e79eea2b0d32",0,0,0,0,0,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,4,0,0,6,0,0,19,5,0
"2864cc600d3ca7bc75496ac29dad0e39",0,0,0,0,0,0,0,0,0,225,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e779c425f1882be73d6ea607fa30561e",0,0,0,0,0,124,58,0,0,0,0,0,36,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,36,0,0,0,0,0,5,7,0
"5db77974b67948e222eb53c96f446675",0,0,0,0,0,0,56,0,87,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,19,0,56,0,0,0,0,29,0,0,0,0,0,0,29,0
"4902213ad1e44cb11eb3ce7d53c8a836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,4,177,0,0,0,0,0,58,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fe52c1fa86b43e8fa81e5dab9692d1b2",0,0,0,0,0,9,0,0,158,0,0,0,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11,0,89,0,0,0,0,0,0,36,0,0,0,0,0,0
"dff6ed080d99bfcbf0ad13660dbf0b5a",63,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f62b6f37004c58e73d33d4a9cf45588f",0,0,0,0,0,0,0,0,0,23,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,52,30,20,0,0,0,9,0,0,104,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7a4052f919cd737cd5709ab74d116bc1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,31,0,0,0,0,0,0,0,0,0,0
"7840ccdee562df8ba5e38ecbb9be18bd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,28,0,0,0,0,0,0,0,0,0,0,0,0,124,0,56,0,0,0,0,0,0,0,0,0,0
"0e660de66e88f597c2b57dd6bbc8a19d",0,0,0,0,0,0,0,0,0,38,0,31,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,8,24,0,0,0,0,94,0,0,0,0,0,0,0,22,0,67,0,24,0,0,0,7,0,0,0,0,0,0
"2268c49dd5dae996d463c5e1346a7dfd",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0
"3fe47ca96365233122baee7e751d2657",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,26,148,23,27,0,0,26,21,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
"cd24b17ca75e3018fc4223bb208d9168",0,0,76,0,54,0,0,0,42,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,34,87,0,0,0,0,0,0,0,0,0,0,0,0
"f1f496e533b90b2385ebdd6d507d99af",0,0,0,0,0,0,0,0,64,34,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47b1acc0d05618a9f45512a8c799de77",0,0,0,0,0,0,0,0,28,155,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,40,0,16,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"857209761ab02ae0db7b0f76dfda8e42",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,187,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0
"b9d8d55a66c1e7b0441faf2a8678e610",4,0,0,0,0,72,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,162,0,0,0,35,0,0,0,0,0
"080ca03932e06db46b1459d2d78b5a61",0,0,0,0,0,0,0,0,0,187,0,47,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,61,0,0
"0498188bc219134352bf7836c1db4251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,195,0,0,0,0,0,0,0,0,0,0
"3e92341252dcb9b3cbb36ecb39d408dd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,182,72
"021f3e56a7d7f5a6dff4df6269c5abec",0,196,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"043c8f1f3ba1e3208ea896bcbff12c42",0,0,0,0,0,0,0,17,40,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,78,8,14,0,0,49,0,0,0,0,0,0,0,0,0,41,0,0,48,0,0,0,0,0,0,0,0,0
"605884dfe4601c3465a61cc1bc4c1db4",0,0,19,0,13,0,0,0,29,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,31,206,0,0,0,0,0,0,0,0,0,0,0,0
"f6b7ae6aae6107b387c3ca275ff11a56",0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
"200a4fc2abe82aa783b2b172232087bd",0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,16,0,0,0,0,0,0,0,8,0,0,0,0,106,0,43,0,0,0,0,0,0,0,0,0,0
"d6cc2c086c05234ba56dc35e0abcde4f",0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,10,0,0,0,41,0,0,0,0,0,31,0,50,55,0,44,0,0,0,13,0,0,0,6,0,0
"c916438e74054ff3d1ea86790b5d0cc8",0,25,18,31,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,16,0,0,0,0,0,0,48,0,35,0,0,0,0,48,0,60,0,0,0,0,8,0,0,0,0,0
"36dd6307f9791843c3579280954d50c2",0,0,113,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0
"6d272a2a1f355648029d1a6fdd811f6f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0
"b097d91822b3e3860221b08276e8c3d0",0,0,0,0,0,0,0,0,0,141,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,11,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9a6ee351867e4f49f0ded7f83aa85c5d",0,193,0,0,0,0,64,0,21,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"af55e324b81d581e7c5d5a6dbcc89708",0,0,15,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,25,25,39,0,0,0,0,0,0,0,0,0
"8dc12f8688ee9490defb39cd7cdae997",0,0,0,0,0,0,0,15,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,18,0,0,0,0,0,0
"6458cb313bb3fbe71b63a17bf7a00e4f",0,0,0,0,0,0,0,14,0,163,0,100,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"7361ef92145e01124cb0abbd1e3b8cee",0,0,0,0,0,13,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,141,0,124,0,0,0,0,0,0,0,0,0,0
"8e6fad7d593981857b6bcb92b742c946",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,181,0,0,0,0,0,0,0,0,0,0
"789d43bc3d1d2cda467837ec70e5a962",0,0,0,0,0,15,0,0,0,0,0,0,114,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,57,0,0,16,0,0,0,0,0,0,0,0,0,0,43,0,0
"6e03c44c8de303b2acda2600cf879ad0",0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0
"7b476566d0a1c9ffa222b5ad66dbbfa3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,6,0,0,0,0,0,0,0,0
"2825b7df7e20b5945fb375719db37b43",7,35,0,0,0,0,0,0,26,42,0,24,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,6,0,0,25,67,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,20
"e1ed3012300b5ff9b1ac3bcd989f7ba8",0,50,54,77,114,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89d4c083470c62240450aab9595d0c65",0,35,0,0,0,0,8,19,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,18,0,0,34,0,0,0,0,0,0,0,0,0,39,0,39,0,0,12,29,0,0,0,0,0,0
"b49d826deaf39016a7e95bf1a65a5cb8",0,0,23,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,12,0,0,0,0,0,0,0,0,0,0,0,0,142,0,22,0,0,0,0,0,0,0,0,0,0
"1ddcb9c929e1946a26ed683ac18f0a05",0,0,0,0,0,71,0,0,0,0,0,0,11,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,5,3,0,0,0,0,8,0,0
"de32c9e1ab886205b59308ffb89597c9",0,68,0,0,0,0,0,0,0,15,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,75,0,0,0,0,0,0,0,0,0,0,0,21
