"ASVs","2014F-GULD04-100mL","2014F-GULD04-100mS","2014F-GULD04-1mS","2014F-GULD04-20mL","2014F-GULD04-20mS","2014F-GULD04-250mL","2014F-GULD04-250mS","2014S-GULD04-100mL","2014S-GULD04-100mS","2014S-GULD04-1mS","2014S-GULD04-20mL","2014S-GULD04-20mS","2014S-GULD04-250mL","2014S-GULD04-250mS","2016F-GULD4-100m-L","2016F-GULD4-100m-S","2016F-GULD4-1m-L","2016F-GULD4-1m-S","2016F-GULD4-20m-L","2016F-GULD4-20m-S","2016F-GULD4-250m-L","2016F-GULD4-250m-S","2016S-GULD3-1m-L","2016S-GULD3-1m-S","2016S-GULD3-20m-L","2016S-GULD3-20m-S","2016S-GULD3-40m-L","2016S-GULD3-40m-S","2016S-GULD3-80m-L","2016S-GULD3-80m-S","2017F-GULD04-1mL","2017F-GULD04-1mS","2017F-GULD04-20mL","2017F-GULD04-20mS","2017F-GULD04-250mL","2017F-GULD04-250mS","2017F-GULD04-60mL","2017F-GULD04-60mS","2017S-GULD04-1mL","2017S-GULD04-1mS","2017S-GULD04-20mL","2017S-GULD04-20mS","2017S-GULD04-250mL","2017S-GULD04-250mS","2017S-GULD04-60mL","2017S-GULD04-60mS","2018F-SG23-1mS","2018F-SG23-20mL","2018F-SG23-20mS","2018F-SG23-250mL","2018F-SG23-250mS","2018F-SG23-60mL","2018F-SG23-60mS","2018S-GULD04-250mL","2018S-GULD04-250mS","2018S-GULD04-60mL","2019S-GULD04-250mL","2019S-GULD04-250mS","2019S-GULD04-60mS"
"6647f10540f27fbb6ee1155daf91baec",11,619,111,0,133,0,27,0,767,2238,0,1358,9,15,0,0,0,0,0,37,0,0,0,0,0,190,0,158,0,271,25,1811,20,449,0,0,24,279,5,825,0,674,0,0,0,119,3131,0,290,0,0,9,501,0,43,0,0,0,230
"54436228d0f177862841443540c32d91",0,90,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13874,23,0,0,241,0,0,162,0,0
"3fe543cb201f4dd02ab16a6916c97804",0,0,0,0,0,0,0,837,638,4830,137,2994,979,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1817,16,41,26,0,0,0,0,0,0,0,0,0,0,866,7,138
"a63ec79ff18734036fd607951df3f78f",0,16,0,0,0,0,0,1429,34,7934,440,920,0,0,0,0,0,0,0,0,0,0,115,0,527,0,19,83,0,0,0,0,0,0,0,0,0,0,3,132,22,58,0,0,1102,248,0,0,0,0,0,0,0,0,0,0,0,0,121
"5c47c73176b38a3783a0c5b6e1f00997",11,11,0,0,0,0,0,43,60,6501,46,2199,600,249,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,12,22,19,0,0,0,0,0,0,0,214,8,0,2386,7,166
"1176c37294050ac8484324633b395b3f",16,45,0,0,0,0,0,104,38,3706,768,973,112,0,92,0,0,0,55,0,0,0,0,0,60,0,106,0,0,0,608,299,178,49,0,0,1455,53,46,1605,357,430,0,0,124,0,313,0,54,304,0,101,16,38,0,0,20,0,0
"40f0c3cda6d5c5b7bb819bca14b929fa",0,63,0,0,0,0,28,0,0,391,11,207,159,1710,0,0,0,0,0,0,9,0,0,15,80,27,111,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,890,3366,0,0,0,0,0,27,20,0,0,102,175,0,3458,904,76
"8f586ba42658c6af11354f6a47dc4e92",0,0,0,0,0,0,0,231,46,6102,181,3005,307,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,1756,14,71
"aa37715648e5009d69fb01cb9c4aa1ec",220,447,1068,131,1362,92,0,0,65,0,0,0,104,43,122,47,156,274,166,385,43,0,0,0,0,0,0,0,0,0,278,875,264,306,168,0,561,246,0,82,0,101,49,0,0,31,1410,130,642,273,0,854,185,276,60,43,0,0,0
"0a2a8b316870a14e07dbec68f1c68a8b",0,15,0,0,0,0,0,0,14,528,98,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,111,153,15,13,3989,7,1936,158,0,0,44,11,20,0,0,0,0,0,0,0,0,537,15,2729,59,17,0,0,94
