# Constructed from biom file
#OTU ID	G10-ROS4	G26-NOAA5	G3-DAL6	G1-AWI11	G23-NOAA12	G14-ROS20	G6-DAL18	G19-AWI7	G27-eMock2-2	G9-NOAA17	G11-DAL30	G17-DAL12	G22-DAL24	G31-eMockB-20	G32-bMock2	G24-AWI15	G30-eMockB-18	G18-NOAA6	G20-ROS12	G35-bMock22	G4-ROS16	G7-NOC20	G12-NOC23	G15-AWI3	G28-eMock2-7	G29-eMockA-11	G33-bMock9	G21-NOC33	G5-NOC4	G34-bMock20	G2-NOAA29	G16-NOC11	G8-AWI19	G36-bMock27	G25-ROS8	G13-NOAA23
ed033b7613f5946671931f3be25dfc76	146.0	7.0	0.0	0.0	5.0	59.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	40.0	0.0	59.0	74.0	97.0	0.0	0.0	0.0	0.0	101.0	178.0	0.0	1.0	54.0	0.0	0.0	39.0	7.0
eb780bfb2c59d557b9a4622f2be3f59f	128.0	93.0	129.0	4.0	44.0	62.0	91.0	7.0	0.0	19.0	79.0	30.0	158.0	0.0	0.0	3.0	0.0	46.0	47.0	0.0	86.0	90.0	87.0	10.0	0.0	0.0	0.0	84.0	165.0	0.0	89.0	84.0	7.0	0.0	47.0	58.0
bb4f9073c0b7368fddfdc2db73878b7e	120.0	0.0	43.0	0.0	0.0	77.0	31.0	0.0	0.0	0.0	16.0	11.0	44.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	87.0	399.0	356.0	0.0	0.0	0.0	0.0	327.0	702.0	0.0	0.0	339.0	0.0	0.0	42.0	0.0
c189c6d58f7032aea424f7fb805b4388	98.0	1629.0	208.0	0.0	1087.0	28.0	203.0	0.0	0.0	726.0	133.0	73.0	259.0	0.0	0.0	0.0	0.0	761.0	17.0	0.0	51.0	312.0	344.0	0.0	0.0	0.0	0.0	294.0	611.0	0.0	1233.0	305.0	0.0	0.0	26.0	1947.0
0a29142ee6230ef462cabd35c5f4fce7	96.0	307.0	0.0	0.0	209.0	51.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	175.0	30.0	0.0	56.0	62.0	63.0	0.0	0.0	0.0	0.0	44.0	114.0	0.0	269.0	48.0	0.0	0.0	45.0	305.0
10b26f620d7f7072558783e5b7575931	91.0	297.0	173.0	0.0	152.0	54.0	133.0	0.0	0.0	73.0	114.0	63.0	180.0	0.0	0.0	0.0	0.0	169.0	34.0	0.0	73.0	31.0	39.0	0.0	0.0	0.0	0.0	19.0	28.0	0.0	251.0	24.0	0.0	0.0	43.0	338.0
c71fe371443759a32e72fe07cf89e207	78.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0
d71d69560fa053f23df35b712893ead4	76.0	0.0	10.0	0.0	0.0	29.0	13.0	3.0	0.0	0.0	6.0	9.0	18.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	9.0	130.0	158.0	6.0	0.0	0.0	0.0	127.0	296.0	0.0	0.0	155.0	1.0	0.0	18.0	0.0
4226b6e1ddce91d1ba43a73cb0f68509	75.0	47.0	19.0	0.0	16.0	42.0	13.0	0.0	0.0	3.0	6.0	0.0	14.0	0.0	0.0	0.0	0.0	16.0	31.0	0.0	44.0	125.0	96.0	0.0	0.0	0.0	0.0	100.0	218.0	0.0	30.0	71.0	0.0	0.0	20.0	17.0
9c37640306089e3bacf52f3fe1788e8f	74.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	36.0	60.0	40.0	0.0	0.0	0.0	0.0	43.0	82.0	0.0	0.0	38.0	0.0	0.0	11.0	0.0
5710bc69410fc2f5bde73f5ea7273a0e	72.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	24.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	25.0	0.0
3ec9901eab8edada026f560b14e38466	68.0	78.0	0.0	0.0	60.0	38.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	13.0	0.0	37.0	16.0	7.0	0.0	0.0	0.0	0.0	8.0	3.0	0.0	78.0	10.0	0.0	0.0	22.0	81.0
3cabadd6bc63ee778fae6d2725318722	68.0	23.0	0.0	0.0	9.0	13.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	18.0	0.0	18.0	9.0	17.0	0.0	0.0	0.0	0.0	13.0	38.0	0.0	32.0	8.0	0.0	0.0	18.0	23.0
64e1cf12b0c898879db80144953f533e	56.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	18.0	44.0	35.0	0.0	0.0	0.0	0.0	67.0	83.0	0.0	0.0	25.0	0.0	0.0	20.0	0.0
ab74b1fc1eaa847c46eaef145c7731f7	52.0	11.0	11.0	0.0	7.0	24.0	7.0	0.0	0.0	5.0	5.0	3.0	10.0	0.0	0.0	0.0	0.0	15.0	15.0	0.0	20.0	35.0	50.0	0.0	0.0	0.0	0.0	30.0	71.0	0.0	18.0	31.0	0.0	0.0	18.0	6.0
