Feature ID	domain	phyla	class	order	family	genus	specie
859d5bda61aee128e9080fd6ea690436	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Microtrichaceae	 g__Sva0996_marine_group	 s__uncultured_actinobacterium
3670ec25c9bf6a60b7bbeb5bcd65f2aa	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Halieaceae	 g__Halioglobus	 s__uncultured_bacterium
27845059b6ed247b76fd0afe33c6d64b	d__Bacteria	 p__Marinimicrobia_(SAR406_clade)	 c__Marinimicrobia_(SAR406_clade)	 o__Marinimicrobia_(SAR406_clade)	 f__Marinimicrobia_(SAR406_clade)	 g__Marinimicrobia_(SAR406_clade)	 s__uncultured_marine
6125175b102b2e2fc21ec3622c2dcd6a	d__Eukaryota	 p__Chlorophyta	 c__Mamiellophyceae	 o__Mamiellales	 f__Mamiellales		
0c385569570f12dea148bfd1ac4345c4	d__Bacteria	 p__Desulfobacterota	 c__Desulfuromonadia	 o__PB19	 f__PB19	 g__PB19	 s__uncultured_marine
31ab228bf8852fcdb7e94195c1d380a0	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__UBA10353_marine_group	 f__UBA10353_marine_group	 g__UBA10353_marine_group	
1592139a339ade3906dc3f6f189d758b	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__S25-593	 g__S25-593	 s__uncultured_marine
e9a7087cfe2a08388fddad64d48d3e09	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__AT-s3-44	 f__AT-s3-44	 g__AT-s3-44	 s__uncultured_marine
f08ec0e350fe01713c73c9d19fe832a8	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cyclobacteriaceae	 g__uncultured	 s__uncultured_Bacteroidetes
24edc48a1744b6166c40db405728308f	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Methylophilaceae	 g__OM43_clade	
f6fb261e0bd0b74b94c86fabaa37d889	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Coxiellales	 f__Coxiellaceae	 g__Coxiella	 s__uncultured_organism
254c65ab1c6c447163652ccc4652c5d6	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Amylibacter	 s__uncultured_marine
6b0b64dd996f9442728ad18c936d16ca	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Spongiibacteraceae	 g__Spongiibacter	 s__Spongiibacter_sp.
d90d023a2186e4eac2bb186640d944af	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Microtrichaceae	 g__Sva0996_marine_group	
5fd46eacb504056ef5a94ab309a5a562	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__Magnetospiraceae	 g__uncultured	 s__uncultured_bacterium
bd25359393ac03d2f9e4d71479543897	d__Bacteria						
6b1d846c321c44627c51a1e795e11a74	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Erythrobacter	 s__Citromicrobium_sp.
ae03ec2be10734e91feaf9d427987f44	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__S25-593	 g__S25-593	 s__uncultured_marine
2b4505f038b802801ea6bc7d25109c8b	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Tenacibaculum	
bd2c72706d89019a55c0935e2c0599d1	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Colwelliaceae	 g__Colwellia	
0b89c286fd6264a91115aeb891728bea	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__HOC36	 f__HOC36	 g__HOC36	
4d653e937a7b83d6e766077896332936	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__Magnetospiraceae	 g__uncultured	 s__uncultured_marine
2cbce79e4d0ec72bb69e680c6350ad5c	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Defluviicoccales	 f__uncultured	 g__uncultured	
aba16f6a749f671fd5b38c62a8eb3b03	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__SAR86_clade	 f__SAR86_clade	 g__SAR86_clade	 s__uncultured_bacterium
b7dde7f0cafb2f8b1ee7f6baeb53dc3f	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae	 g__Pseudahrensia	 s__uncultured_bacterium
4f7cb98d6b614a0e9654861ff71e9d74	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Erythrobacter	
3174f38ecdda17d16b99b8911d3f4cd3	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__SAR86_clade	 f__SAR86_clade	 g__SAR86_clade	 s__uncultured_proteobacterium
dc64badd8f73278987b81735af6ace4b	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Halieaceae	 g__OM60(NOR5)_clade	
cd7910999368a8a24c9d8c18b022b742	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Halieaceae	 g__Marimicrobium	 s__uncultured_bacterium
1109cb38588230247487092fd70944c2	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__UBA10353_marine_group	 f__UBA10353_marine_group	 g__UBA10353_marine_group	
dec1a78987f0b983501fc883c139a7f5	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Hyphomonadaceae	 g__Hyphomonas	
25d0123bc62117f5fd10be78751aea43	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Halieaceae	 g__OM60(NOR5)_clade	
d7237077eb3b78c05b0e83f27f7d3024	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__Magnetospiraceae	 g__uncultured	 s__uncultured_Rhodospirillaceae
6596b49c6462bd05ffb1b818a50e8303	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Formosa	
