# Constructed from biom file
#OTU ID	G10-ROS4	G26-NOAA5	G3-DAL6	G1-AWI11	G23-NOAA12	G14-ROS20	G6-DAL18	G19-AWI7	G27-eMock2-2	G9-NOAA17	G11-DAL30	G17-DAL12	G22-DAL24	G31-eMockB-20	G32-bMock2	G24-AWI15	G30-eMockB-18	G18-NOAA6	G20-ROS12	G35-bMock22	G4-ROS16	G7-NOC20	G12-NOC23	G15-AWI3	G28-eMock2-7	G29-eMockA-11	G33-bMock9	G21-NOC33	G5-NOC4	G34-bMock20	G2-NOAA29	G16-NOC11	G8-AWI19	G36-bMock27	G25-ROS8	G13-NOAA23
8f94623b1e5064782201f27132c9aef0	0.0	0.0	0.0	3.0	0.0	3.0	12.0	0.0	0.0	0.0	12.0	5.0	8.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	8.0	9.0	2.0	0.0	0.0	0.0	4.0	14.0	0.0	0.0	8.0	2.0	0.0	5.0	7.0
b137595f22d9127e3f00c375344ef66c	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3a627a83112b3748961e04f64186ce8b	0.0	0.0	0.0	3.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
c7bdc1ae3a4bb260e50597a584518766	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a23893aad3a667e3f75e3709582c13cf	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
1f81432886dd4d0a44ebba4be65e36de	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
e738a38ed15b973c34df41376839fc71	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d017329c82bc25aa097fd7c9d92f0199	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
f1579bba6a72f87eea165308e7580075	0.0	0.0	0.0	3.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f27dba20ed2b39e5ebed29158f6fca96	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
