Feature ID	domain	phyla	class	order	family	genus	specie
0caae1fcc5087494f58a779021d766f6	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Paracoccus	
77ea1e56373a9e7e3dfee2b70ff8e407	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__NS11-12_marine_group	 g__NS11-12_marine_group	 s__uncultured_Bacteroidetes
e92770dab0fd918a7d43fee603b5daa9	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Planctomycetales	 f__Gimesiaceae	 g__uncultured	 s__uncultured_bacterium
a5b420acd4f6172a309f7ff45f0f4567	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
1a3d63cb9221eb82fd0689ec67d5c327	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Crocinitomicaceae	 g__Fluviicola	
7d3ba91f6a16b2c8eb422612fbb52f28	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Vibrionales	 f__Vibrionaceae	 g__Vibrio	
8335004319c83375ac06e80a71545d08	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	
a6510b8290e263f7d21aa1157e8d506b	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__uncultured	 s__uncultured_bacterium
7b5d2c4e43dbc91e7044f5465fed6bb2	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Kiloniellales	 f__Kiloniellaceae	 g__Tistlia	 s__uncultured_bacterium
0349b41d36bb26bf849c989edd87cc29	d__Bacteria	 p__Bacteroidota	 c__Rhodothermia	 o__Rhodothermales	 f__Rhodothermaceae		
553ee3498b864cda3624349759e5d7bd	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Gammaproteobacteria_Incertae_Sedis	 f__Unknown_Family	 g__uncultured	
e6b8ec4ebc606d2a656dd2fc1ca759b6	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinifilaceae	 g__uncultured	 s__uncultured_Bacteroidetes
2ee36db33ef1949a3f98b805593b8547	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Robiginitalea	 s__bacterium_AMSU
0aae395b3b70c171c8302384c6318e1f	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__MWH-UniP1_aquatic_group	 g__MWH-UniP1_aquatic_group	 s__uncultured_bacterium
096865bc988d93b2e8c5b6d958a19c40	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__uncultured	 s__uncultured_Bacteroidetes
3c7b31539e0e24654f3a9d4af9834b54	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae		
737e1c049cc292cb5161b8dd7f4769c1	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Algibacter	 s__Algibacter_lectus
5a02242fefc00a0d4291c0d8168f716b	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Portibacter	 s__uncultured_Bacteroidetes
e171258cdd9f0050147d0b2c84bbf76a	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Croceibacter	 s__Croceibacter_atlanticus
64748616ebab924ff61ed325e38fa468	d__Bacteria	 p__Verrucomicrobiota	 c__Lentisphaeria	 o__Lentisphaerales	 f__Lentisphaeraceae	 g__Lentisphaera	 s__uncultured_Lentisphaerae
4d974753e2f3848b4b5db0de94b768b9	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae	 g__uncultured	 s__uncultured_Owenweeksia
62afff53e46b891b231d1d9f2f6e7df7	d__Bacteria	 p__Planctomycetota	 c__BD7-11	 o__BD7-11	 f__BD7-11	 g__BD7-11	 s__uncultured_planctomycete
