# Constructed from biom file																																				
#OTU ID	G1-AWI11	G10-ROS4	G11-DAL30	G12-NOC23	G13-NOAA23	G14-ROS20	G15-AWI3	G16-NOC11	G17-DAL12	G18-NOAA6	G19-AWI7	G2-NOAA29	G20-ROS12	G21-NOC33	G22-DAL24	G23-NOAA12	G24-AWI15	G25-ROS8	G26-NOAA5	G27-eMock2-2	G28-eMock2-7	G29-eMockA-11	G3-DAL6	G30-eMockB-18	G31-eMockB-20	G32-bMock2	G33-bMock9	G34-bMock20	G35-bMock22	G36-bMock27	G4-ROS16	G5-NOC4	G6-DAL18	G7-NOC20	G8-AWI19	G9-NOAA17
588253f8c914de60cbb9577946854a39	22	862	63	722	609	649	32	573	35	555	0	797	406	762	173	315	0	408	792	0	0	0	133	0	0	0	0	0	0	0	849	1599	88	638	18	119
6b9dd64d080d53d989a8407d9806429e	249	654	318	458	724	310	590	340	167	443	172	759	167	353	640	406	97	185	819	0	0	0	527	0	0	0	0	0	0	0	347	803	352	383	190	188
f5e41c4abb7f6e6a33a0c15dcf65db3a	0	210	0	1484	362	72	0	973	0	153	0	263	34	1863	53	204	0	42	303	0	0	0	64	0	0	0	0	0	0	0	68	1943	47	1921	0	184
c497da3b39f30aceede6bec3b03cd100	1079	166	166	301	37	143	2223	260	80	14	818	26	60	307	320	20	521	108	30	0	0	0	237	0	0	0	0	0	0	0	141	579	155	281	984	9
1140e05ba561d7308c7868a120db8af8	0	1157	12	95	1647	433	0	98	0	587	0	1130	238	87	26	911	0	272	1034	0	0	0	28	0	0	0	0	0	0	0	405	123	23	96	0	615
11254cea51c1389ddabe05661e40c231	0	577	9	600	638	438	0	604	0	501	0	910	232	497	9	394	0	334	827	0	0	0	8	0	0	0	0	0	0	0	529	1094	11	608	0	155
5b90f5ad96fee60584ae482aa005d594	0	728	73	930	215	314	0	953	31	57	0	127	162	890	88	107	0	204	176	0	0	0	95	0	0	0	0	0	0	0	320	1723	77	975	0	65
06ad8aee2710d4b77d4121a90e32bfb7	0	1028	0	420	862	365	0	483	0	357	0	523	221	446	23	506	0	233	584	0	0	0	17	0	0	0	0	0	0	0	384	946	0	550	0	299
bc794a8df80afbc3c469b5293b74c7f6	333	184	31	927	27	120	599	787	20	9	250	41	66	758	65	0	157	101	34	0	0	0	46	0	0	0	5	0	5	0	114	1771	51	904	415	0
1ce3b5c6d85ce967f8677e23e3e9b0be	79	356	29	517	442	303	137	422	17	337	41	578	169	581	46	261	37	198	525	0	0	0	41	0	0	0	0	0	0	0	387	1044	30	452	64	117
